Abbreviation,Season,Team,Skating Speed,Skating Speed,Skating Speed,Skating Speed,Skating Speed,Skating Speed,,Distance (above average),Distance (above average),Distance (above average),,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,,Zone Time,Zone Time,Zone Time,Zone Time,Zone Time,Zone Time,,Zone Time,Zone Time,Zone Time,Zone Time,,Zone Efficiency,Zone Efficiency,Zone Efficiency,Zone Efficiency,Zone Efficiency,,,Shot Locations (BTN),Shot Locations (BTN),Shot Locations (BTN),Shot Locations (Net),Shot Locations (Net),Shot Locations (Net),Shot Locations (Net),Shot Locations (Slot),Shot Locations (Slot),Shot Locations (Slot),Shot Locations (Point),Shot Locations (Point),Shot Locations (Point),Shot Locations (Flank),Shot Locations (Flank),Shot Locations (NZ),,Goal Locations (BTN),Goal Locations (BTN),Goal Locations (BTN),Goal Locations (Net),Goal Locations (Net),Goal Locations (Net),Goal Locations (Net),Goal Locations (Slot),Goal Locations (Slot),Goal Locations (Slot),Goal Locations (Point),Goal Locations (Point),Goal Locations (Point),Goal Locations (Flank),Goal Locations (Flank),Goal Locations (NZ)
Abbreviation,Season,Team,22+,20+,18+,22+ per 60,20+ per 60,18+ per 60,,ES,PP,PK,,Average,90+,80+,70+,90+ per 60,80+ per 60,70+ per 60,90+ %,80+ %,70+ %,,ES OZ%,ES NZ%,ES DZ%,OZ%,PPOZ%,PK DZ%,,OZ time,DZ time,PPOZ time,PKDZ time,,OZE,DZE,ZE%,PPZE,PKZE,,TOI,L,C,R,L,CREASE,FRONT,R,L,C,R,L,C,R,L,R,NZ,,L,C,R,L,CREASE,FRONT,R,L,C,R,L,C,R,L,R,NZ
WPG,21-22,Winnipeg Jets,57,1461,6683,0.7,17.6,80.6,,-0.1,-0.1,0.0,,56,109,546,1032,1.3,6.6,12.4,2.3%,11.6%,21.8%,,41.0%,18.7%,40.3%,50.4%,61.2%,58.1%,,1686,1657,242,214,,6.7,6.9,49.1%,13.2,15.1,,4977.1,5,10,0,56,27,737,41,238,314,242,201,282,169,115,96,50,,0,2,0,6,8,115,4,39,30,24,2,9,7,6,6,3
WSH,21-22,Washington Capitals,91,1887,7536,1.1,22.7,90.6,,-0.2,-0.0,-0.0,,45,232,460,986,2.8,5.5,11.9,5.0%,9.9%,21.1%,,41.2%,18.8%,40.1%,50.7%,56.1%,58.0%,,1694,1649,235,214,,6.1,6.0,50.0%,12.4,11.6,,4991.8,3,10,4,67,29,648,78,276,285,249,187,163,193,121,135,66,,1,3,0,7,4,124,3,21,32,22,4,3,2,9,4,5
ANA,22-23,Anaheim Ducks,32,1194,5871,0.4,14.4,70.7,,-0.1,-0.0,-0.3,,51,42,396,973,0.5,4.8,11.7,1.0%,9.4%,23.0%,,36.7%,18.2%,45.1%,44.9%,58.2%,62.1%,,1509,1854,219,268,,6.2,7.7,47.8%,13.4,15.9,,4985.6,1,14,7,52,29,614,62,174,225,202,175,139,136,122,151,125,,0,0,0,4,8,95,3,12,28,18,4,15,4,3,9,1
ARI,22-23,Arizona Coyotes,30,1177,6554,0.4,14.1,78.8,,-0.0,-0.2,-0.2,,46,35,329,813,0.4,4.0,9.8,0.9%,8.3%,20.6%,,38.2%,18.7%,43.1%,47.0%,57.8%,63.1%,,1527,1723,229,327,,6.1,6.8,48.0%,10.6,16.3,,4991.8,2,13,3,47,45,541,45,200,259,221,143,146,136,107,111,40,,0,1,0,8,12,99,3,21,35,20,4,7,1,5,7,0
BOS,22-23,Boston Bruins,34,1354,6757,0.4,16.3,81.4,,-0.0,-0.1,0.2,,38,78,482,1019,0.9,5.8,12.3,1.6%,10.0%,21.1%,,41.8%,18.8%,39.4%,51.5%,60.0%,55.3%,,1657,1562,263,262,,6.8,6.3,49.7%,14.5,11.8,,4982.8,2,15,0,63,31,764,78,254,354,251,169,196,144,116,143,65,,0,2,0,7,7,133,5,34,51,20,3,8,3,12,8,2
BUF,22-23,Buffalo Sabres,55,1549,7512,0.7,18.7,90.6,,0.1,0.0,0.4,,51,98,514,1122,1.2,6.2,13.5,2.1%,10.8%,23.5%,,40.2%,18.6%,41.1%,49.4%,59.3%,59.5%,,1649,1686,258,212,,7.1,7.1,52.1%,11.7,16.1,,4976.9,2,17,0,65,37,682,76,251,309,316,160,170,151,123,156,60,,0,1,0,5,11,126,6,25,46,38,1,5,1,7,13,3
CAR,22-23,Carolina Hurricanes,61,1527,6920,0.7,18.4,83.2,,0.0,0.3,0.4,,49,93,587,1359,1.1,7.1,16.3,1.7%,10.5%,24.2%,,47.0%,18.9%,34.1%,58.0%,60.2%,49.0%,,1904,1382,253,209,,7.0,6.5,52.5%,14.9,15.0,,4990.5,7,28,4,66,83,744,56,223,284,205,246,191,306,157,151,50,,0,2,0,7,13,114,4,25,36,21,5,9,7,3,9,0
CBJ,22-23,Columbus Blue Jackets,87,1745,7262,1.1,21.1,87.7,,-0.0,0.2,0.0,,42,85,425,985,1.0,5.1,11.9,1.9%,9.4%,21.7%,,38.3%,18.1%,43.6%,46.8%,57.1%,58.9%,,1584,1804,210,222,,6.2,7.1,48.1%,13.6,16.2,,4967.0,6,18,1,63,67,549,76,239,277,207,179,141,164,127,144,61,,0,3,0,1,15,123,5,22,32,18,8,9,8,4,8,2
CGY,22-23,Calgary Flames,37,1606,7863,0.4,19.3,94.4,,0.3,0.3,0.6,,46,153,555,1360,1.8,6.7,16.3,2.8%,10.0%,24.6%,,42.9%,18.9%,38.2%,52.9%,60.2%,53.6%,,1733,1543,255,241,,7.0,6.7,54.4%,13.6,13.7,,4998.6,3,12,5,73,60,689,81,264,380,264,206,222,199,130,161,117,,1,1,0,3,17,96,5,17,26,16,2,6,6,1,3,0
CHI,22-23,Chicago Blackhawks,75,1478,7033,0.9,17.9,84.9,,-0.1,0.3,0.2,,46,33,389,962,0.4,4.7,11.6,0.8%,9.5%,23.6%,,37.9%,18.5%,43.6%,46.5%,56.4%,58.8%,,1563,1798,220,216,,6.0,7.0,47.4%,11.1,13.8,,4967.4,4,13,1,48,59,515,51,236,228,185,161,142,173,147,124,63,,0,1,0,3,15,119,6,23,38,27,4,14,5,2,9,0
COL,22-23,Colorado Avalanche,206,2424,7914,2.5,29.1,95.0,,0.0,-0.4,-0.1,,26,73,523,1243,0.9,6.3,14.9,1.5%,10.5%,24.8%,,41.6%,18.3%,40.1%,50.9%,58.5%,58.4%,,1692,1631,252,239,,6.5,6.1,51.3%,14.3,13.8,,4996.8,1,10,2,68,47,666,56,270,362,286,184,277,151,119,117,51,,0,1,0,8,9,80,6,28,28,24,4,2,4,10,4,0
DAL,22-23,Dallas Stars,71,1428,7454,0.9,17.2,89.6,,0.2,0.4,0.0,,47,62,444,1153,0.7,5.3,13.9,1.2%,8.9%,23.1%,,41.4%,19.4%,39.2%,51.4%,58.1%,61.4%,,1685,1596,237,258,,6.6,6.2,50.1%,16.9,11.5,,4993.1,7,11,2,58,60,739,60,258,299,216,181,161,192,121,114,60,,2,2,0,6,10,143,4,16,45,15,7,6,8,1,5,1
DET,22-23,Detroit Red Wings,41,1118,6078,0.5,13.5,73.2,,-0.1,0.0,-0.1,,40,109,467,1046,1.3,5.6,12.6,2.5%,10.9%,24.4%,,40.4%,18.0%,41.6%,49.3%,58.9%,59.6%,,1637,1686,257,235,,5.7,6.3,47.0%,13.0,13.4,,4983.3,4,6,5,58,52,593,65,235,228,186,179,173,144,133,109,61,,0,0,0,4,15,99,7,26,32,19,7,6,2,11,4,1
EDM,22-23,Edmonton Oilers,181,2230,7503,2.2,27.0,90.7,,-0.1,-0.4,0.0,,35,120,477,1051,1.5,5.8,12.7,2.4%,9.7%,21.5%,,42.1%,18.2%,39.7%,51.5%,64.0%,58.7%,,1700,1603,256,262,,7.5,6.5,50.7%,17.0,14.1,,4963.7,5,21,4,68,78,854,114,266,273,210,187,189,138,114,96,66,,0,5,0,3,15,163,13,27,36,30,5,13,1,3,8,0
FLA,22-23,Florida Panthers,50,1448,7186,0.6,17.5,86.9,,0.0,0.3,0.0,,52,163,480,1173,2.0,5.8,14.2,3.0%,8.8%,21.4%,,43.0%,18.8%,38.2%,53.0%,58.1%,56.6%,,1685,1497,268,262,,7.5,7.3,51.2%,16.9,13.8,,4960.2,5,7,4,83,46,863,92,274,304,263,238,237,204,140,112,79,,0,1,0,7,8,150,9,26,30,23,6,7,5,5,5,4
L.A,22-23,Los Angeles Kings,65,1427,6449,0.8,17.2,77.6,,-0.1,-0.2,-0.2,,52,75,523,1146,0.9,6.3,13.8,1.5%,10.7%,23.5%,,39.6%,18.4%,42.0%,48.5%,60.9%,58.3%,,1608,1706,253,243,,6.8,5.9,53.8%,13.4,12.8,,4989.3,5,9,1,67,39,712,65,244,272,231,217,194,182,154,143,40,,0,2,0,4,7,123,12,26,30,33,3,9,2,6,9,0
